lyukad,lyukas
befutó,lefutó
begyúr,legyúr
begyűr,legyűr
behagy,lehagy
behajt,lehajt
beháló,leháló
behány,lehány
behint,lehint
behisz,lehisz
behord,lehord
behuny,lehuny
beidéz,leidéz
beígér,leígér
beírás,leírás
beírat,leírat
beitat,leitat
beível,leível
beívik,leívik
beizél,leizél
bejáró,lejáró
bekezd,lekezd
bekölt,lekölt
beküld,leküld
beküzd,leküzd
belátó,lelátó
belejt,lelejt
beleng,leleng
belépő,lelépő
belopó,lelopó
bemárt,lemárt
bemegy,lemegy
bemenő,lemenő
bement,lement
bemond,lemond
benyal,lenyal
benyel,lenyel
benyer,lenyer
benyes,lenyes
benyit,lenyit
benyom,lenyom
benyúl,lenyúl
beomol,leomol
beónoz,leónoz
beoson,leoson
beoszt,leoszt
beölel,leölel
beömöl,leömöl
beőröl,leőröl
berakó,lerakó
beránt,leránt
berogy,lerogy
beront,leront
besíel,lesíel
besiet,lesiet
besuny,lesuny
beszab,leszab
beszán,leszán
beszed,leszed
beszeg,leszeg
beszel,leszel
beszív,leszív
beszól,leszól
beszop,leszop
beszór,leszór
beszúr,leszúr
beszül,leszül
beszűr,leszűr
betart,letart
betesz,letesz
betéti,letéti
betett,letett
betevő,letevő
betilt,letilt
betölt,letölt
betört,letört
beugat,leugat
beújít,leújít
beutal,leutal
beutál,leutál
beüget,leüget
beürít,leürít
beürül,leürül
beütés,leütés
beüzen,leüzen
bevált,levált
bevarr,levarr
bevert,levert
bevesz,levesz
bevisz,levisz
bevonz,levonz
bezeng,lezeng
bökdös,lökdös
bántás,hántás
bántat,hántat
begyes,hegyes
bering,hering
berreg,herreg
bódító,hódító
bordás,hordás
bosszú,hosszú
burkol,hurkol
bagzás,magzás
bagzik,magzik
bennél,mennél
bereng,mereng
beszel,meszel
billió,millió
bukkan,mukkan
bűvész,művész
bakter,sakter
behány,sehány
belejt,selejt
borház,sorház
borozó,sorozó
borsos,sorsos
bujtás,sujtás
bújtat,sújtat
burján,surján
barika,karika
barmol,karmol
barter,karter
becses,kecses
begyes,kegyes
begyúr,kegyúr
bereng,kereng
bering,kering
berreg,kerreg
beszeg,keszeg
bevert,kevert
bólint,kólint
boncol,koncol
bónusz,kónusz
borona,korona
borong,korong
botlik,kotlik
börzés,körzés
bement,cement
boltos,coltos
babona,gabona
ballon,gallon
billér,pillér
billog,pillog
bolgár,polgár
böcsül,pöcsül
bökdös,pökdös
bukkan,pukkan
belelő,delelő
bereng,dereng
borong,dorong
begyes,jegyes
bunker,junker
baktat,buktat
baljós,béljós
bántás,bontás
bántat,bontat
bárfiú,borfiú
beázik,boázik
becsül,böcsül
beleró,boleró
benyit,bényit
bérház,borház
bering,béring
beszít,bőszít
beszül,bőszül
billér,böllér
boldog,buldog
borvíz,bórvíz
bujtat,bújtat
bábeli,bázeli
bagzik,baszik
bakter,barter
bearat,beírat
bedong,bekong
beéget,beüget
beékel,bekkel
beerez,beérez
beevez,beövez
befagy,behagy
befejt,belejt
befejt,berejt
befejt,belejt
befejt,berejt
befogy,berogy
befold,betold
begyes,benyes
begyúl,benyúl
behall,bevall
behisz,bevisz
behuny,besuny
beizél,beszél
bekölt,betölt
belejt,berejt
beleng,bereng
beleng,bezeng
belenő,bemenő
béllet,bérlet
bemárt,bezárt
bemárt,bezárt
bemérő,betérő
beőrül,beürül
bereng,bezeng
beront,bevont
berúgó,besúgó
beszeg,bezzeg
betesz,bevesz
betett,bevett
bodnár,bognár
bodros,bokros
bojtos,boltos
bolház,borház
bomlás,botlás
bomlik,botlik
bujtat,buktat
bakfis,baksis
balkon,ballon
barakk,barokk
barkás,barnás
beadat,bearat
beadat,beavat
beadat,bearat
beadat,beavat
beájul,beárul
bearat,beavat
beékez,beélez
beékez,beérez
beélez,beérez
beerez,beevez
befagy,befogy
behaló,beháló
behány,behuny
bekezd,beküzd
beleér,beltér
beránt,beront
bereng,bering
besíel,beszel
betart,betört
betérő,betörő
betilt,betölt
bevesz,bevisz
bizgat,biztat
boglár,bognár
boldog,bolyog
bordáz,borház
borjas,borzas
barack,barakk
becője,becőke
becsal,becsül
becsap,becsíp
becsár,becsér
becsár,becsűr
becsér,becsűr
becses,becsüs
befejt,befest
befejt,befest
begyúr,begyűr
behaló,beható
békeév,békeív
beküld,beküzd
beleég,beleng
beleél,beleöl
beleél,beleül
beleér,beleír
belefő,belelő
belefő,belenő
belejt,beleüt
belelő,belenő
beleöl,beleül
bennél,bennül
benyal,benyel
benyal,benyúl
benyel,benyúl
beőröl,beőrül
beszed,beszéd
beszel,beszél
beszel,beszól
beszel,beszül
beszél,beszól
beszél,beszül
beszól,beszül
beszór,beszúr
beszór,beszűr
beszúr,beszűr
betölt,betört
beutal,beutál
bevert,bevett
billeg,billog
bordai,bordói
borscs,borsos
báróné,bárónő
beakad,beakar
beárad,beáraz
becőke,becőké
becsal,becsap
becsen,becses
becsül,becsüs
beékel,beékez
befejő,befejt
befejő,befejt
befele,befelé
befogó,befogy
begyúl,begyúr
behall,behaló
behíva,behívó
beleég,beleél
beleég,beleér
beleél,beleér
belefő,belefú
beleng,belenő
beleül,beleüt
bemenő,bement
bennég,bennél
benyel,benyer
benyel,benyes
benyer,benyes
beszed,beszeg
beszed,beszel
beszéd,beszél
beszeg,beszel
beszít,beszív
beszól,beszór
betörő,betört
beutal,beutaz
bevont,bevonz
billeg,billen
bizton,biztos
bodros,bodroz
bolhás,bolház
boltos,boltoz
boncol,boncos
bordai,bordal
bordás,bordáz
borona,borong
borsos,borsoz
borzad,borzas
böjtöl,böjtös
bugyog,bugyor
burján,burját
üreges,öreges
ügylet,egylet
ügybaj,agybaj
ügyelő,ágyelő
űrhajó,őrhajó
ügetés,égetés
ültető,éltető
üzemel,szemel
üreges,üveges
üregel,üreges
ütemes,ütemez
üveges,üvegez
urizál,irizál
uszony,iszony
uszály,aszály
unalom,uralom
utalás,utazás
ugatás,ugatós
cirkál,firkál
coltos,foltos
ciráda,tiráda
ciszta,tiszta
cekker,vekker
coltos,voltos
cukkol,rukkol
cakkos,lakkos
cakkoz,lakkoz
cement,lement
cinkel,linkel
címzés,hímzés
cuppan,huppan
cakkos,makkos
center,kenter
cukkol,kukkol
cement,bement
coltos,boltos
cincér,pincér
caflat,caplat
cincár,cingár
cincár,cincér
cincár,cincor
cincér,cincor
cakkos,cakkoz
centis,centiz
címkép,címkéz
cincál,cincár
cincog,cincor
cinkel,cinkez
zsiger,csiger
zsúfol,csúfol
zsupán,csupán
zsemle,zsömle
zsúfol,zsúpol
zsákol,zsákos
zsalus,zsaluz
zsebel,zsebes
zsiráf,zsirál
zsíros,zsíroz
germán,fermán
golyós,folyós
gallér,tallér
gerjed,terjed
gombol,tombol
gallon,vallon
gányol,ványol
garázs,varázs
gödrös,vödrös
gagyog,ragyog
gangos,rangos
gégész,régész
gombol,rombol
geller,zeller
gordon,zordon
gördít,zördít
gördül,zördül
görget,zörget
gombos,lombos
gangos,hangos
golyva,holyva
gördül,hördül
gittel,sittel
görény,sörény
galand,kaland
galiba,kaliba
gépíró,képíró
gépsor,képsor
gomoly,komoly
gordon,kordon
gukker,kukker
gurgat,kurgat
gabona,babona
gallon,ballon
gallér,pallér
garázs,parázs
garázs,parázs
gördül,pördül
görget,pörget
guszta,puszta
garázs,darázs
gombos,dombos
gördül,dördül
gányol,gúnyol
gázgép,gőzgép
gégész,gépész
gödény,görény
gépagy,gépágy
görbít,gördít
görbül,gördül
gombás,gombos
gránát,gránit
gallon,galloz
gépíró,gépírt
gombol,gombos
gondol,gondos
gondol,gondoz
gondos,gondoz
gömböc,gömböv
grófné,grófnő
gúnyol,gúnyos
paktum,faktum
palánk,falánk
perdít,ferdít
perdül,ferdül
pillér,fillér
pincsi,fincsi
pityeg,fityeg
pontos,fontos
pungál,fungál
pálcás,tálcás
pallér,tallér
párlat,tárlat
pároló,tároló
pengés,tengés
penget,tenget
permet,termet
pernye,ternye
potyog,totyog
pötyög,tötyög
pötyög,tötyög
pagina,vagina
pakoló,vakoló
parázs,varázs
parázs,varázs
pillog,villog
pöcsök,vöcsök
pacsni,racsni
pákász,rákász
pemete,remete
pendít,rendít
pendül,rendül
pengés,rengés
penget,renget
pipacs,ripacs
potyog,rotyog
pötyög,rötyög
pötyög,rötyög
párlat,zárlat
párolt,zárolt
pendít,zendít
pendül,zendül
penész,zenész
pengés,zengés
penget,zenget
pördül,zördül
pörgés,zörgés
pörget,zörget
pötyög,zötyög
pötyög,zötyög
pendít,lendít
pendül,lendül
pengés,lengés
penget,lenget
pocsol,locsol
potyog,lotyog
pökdös,lökdös
pötyög,lötyög
pötyög,lötyög
pumpol,lumpol
pajtás,hajtás
pántol,hántol
perceg,herceg
pergel,hergel
petyeg,hetyeg
pördül,hördül
pörgés,hörgés
pállás,mállás
pállik,mállik
pántol,mántol
parkol,markol
parkőr,markőr
porcos,morcos
potyog,motyog
pukkan,mukkan
párlás,sárlás
passzé,sasszé
perceg,serceg
percen,sercen
perdül,serdül
pintér,sintér
pusmog,susmog
pandúr,kandúr
pártol,kártol
pattan,kattan
pattog,kattog
pehely,kehely
pékség,kékség
perget,kerget
petyeg,ketyeg
piázik,kiázik
potyog,kotyog
prémes,krémes
pillér,billér
pillog,billog
polgár,bolgár
pöcsül,böcsül
pökdös,bökdös
pukkan,bukkan
pincér,cincér
pallér,gallér
parázs,garázs
parázs,garázs
pördül,gördül
pörget,görget
puszta,guszta
parázs,darázs
parázs,darázs
pézsma,dézsma
piázik,diázik
pöccen,döccen
pördül,dördül
pörgés,dörgés
pudvás,dudvás
pájsli,pejsli
pakoló,pikoló
pallér,pillér
pántoz,pontoz
panzió,penzió
pányva,ponyva
párlás,porlás
pároló,poroló
partos,pártos
párzik,porzik
paszta,pászta
paszta,puszta
pászta,puszta
pátens,potens
patvar,pitvar
perdül,pördül
pergés,pörgés
perget,pörget
petyeg,pityeg
pingál,pungál
pöffed,püffed
padlóz,pallóz
pagina,patina
pállás,párlás
pamlag,parlag
pántol,pártol
parkol,paskol
parkol,patkol
paskol,patkol
pendít,perdít
pendül,perdül
pengés,pergés
penget,perget
picula,pikula
picula,pilula
picula,pirula
pikula,pilula
pikula,pirula
pillog,pislog
pilula,pirula
plánum,plénum
pocika,pofika
portás,postás
pöcköl,pörköl
pungál,purgál
pálcás,pállás
parkőr,partőr
párlás,párnás
párlás,párzás
párnás,párzás
párnáz,pártáz
peches,peckes
pergel,perjel
perget,permet
pincér,pintér
porlás,portás
porlik,porzik
pöcköl,pöcsöl
profán,propán
padlás,padlós
pászka,pászma
pászka,pászta
pászma,pászta
patika,patina
pengés,pengős
pingál,pingel
pocija,pocika
pöcsöl,pöcsül
primer,primőr
pumpál,pumpol
padlós,padlóz
pálcás,pálcáz
pántol,pántoz
paplak,paplan
parkol,parkoz
párnás,párnáz
parola,paroli
pároló,párolt
pártol,pártos
peckel,peckes
példás,példáz
pénzel,pénzes
perceg,percen
perceg,perces
percen,perces
pergel,perget
pfujol,pfujoz
pihenj,pihenő
pihenj,pihent
pihenő,pihent
pillér,pillés
pityeg,pityer
polcol,polcoz
pólyál,pólyás
pólyál,pólyáz
pólyás,pólyáz
ponton,pontos
ponton,pontoz
pontos,pontoz
portál,portás
postás,postáz
pöcsök,pöcsöl
prémes,prémez
próbál,próbás
profil,profit
puffad,puffan
pukkad,pukkan
delelő,felelő
délidő,félidő
délkör,félkör
dikció,fikció
dülled,fülled
dagadó,tagadó
delelő,telelő
délidő,télidő
délies,télies
derítő,terítő
darázs,varázs
diadal,viadal
dagadó,ragadó
dagály,ragály
dobban,robban
dobogó,robogó
dugdos,rugdos
döngés,zöngés
dördül,zördül
dörgés,zörgés
dörren,zörren
dobban,lobban
dobogó,lobogó
dombos,lombos
dinnye,hinnye
dördül,hördül
dörgés,hörgés
durrog,hurrog
degesz,megesz
dereng,mereng
derítő,merítő
dehogy,sehogy
dokkol,sokkol
döntés,söntés
dugdos,sugdos
durran,surran
durrog,surrog
dürgés,sürgés
Danton,kanton
dereng,kereng
derítő,kerítő
diázik,kiázik
dongás,kongás
dorong,korong
dunszt,kunszt
durrog,kurrog
delelő,belelő
dereng,bereng
dorong,borong
darázs,garázs
dombos,gombos
dördül,gördül
darázs,parázs
darázs,parázs
dézsma,pézsma
diázik,piázik
döccen,pöccen
dördül,pördül
dörgés,pörgés
dudvás,pudvás
dobban,jobban
dalest,délest
dalkör,délkör
Daniel,Dániel
deákos,diákos
decens,docens
dekkol,dokkol
dörgés,dürgés
Dalton,Danton
dologi,dorogi
döndül,dördül
döngés,dörgés
döngöl,dörgöl
dühöng,dülöng
döngés,döntés
dönget,döntet
dalkar,dalkör
díszfű,dísztű
diszkó,disznó
dagadó,dagadt
daráló,darált
díszfa,díszfű
drótos,drótoz
dublőr,dublőz
szalag,ázalag
szemel,üzemel
szabás,szobás
szájas,szíjas
szakít,szőkít
szakít,szűkít
szálal,szólal
szálfa,szilfa
szánás,szénás
szarás,szórás
szarás,szúrás
szárít,szorít
szárny,szörny
szaros,szoros
szatír,szétír
szeget,sziget
szegez,szögez
székes,szikes
székfű,szikfű
szeles,széles
szenes,színes
szeret,szüret
szidás,szódás
szitás,szítás
szokik,szökik
szórás,szúrás
szórat,szúrat
szökés,szőkés
szőkít,szűkít
szőkül,szűkül
szőrös,szűrös
szabad,szakad
szabad,szalad
szabás,szarás
szagos,szakos
szagos,szaros
szájal,szálal
szájas,szálas
szájas,száras
szájas,százas
szakad,szalad
szakma,szalma
szákol,számol
szakos,szaros
szálas,száras
szálas,százas
szálaz,száraz
szálka,szánka
számít,szárít
szárad,század
száras,százas
szedál,szekál
szedés,szegés
szedet,szeget
szedet,szelet
szedet,szeret
szédít,szépít
szédül,szépül
szédül,szétül
szegel,szelel
szegel,szemel
szegel,szenel
szegel,szerel
szeget,szelet
szeget,szeret
szegez,szemez
szegez,szerez
székes,széles
szelel,szemel
szelel,szenel
szelel,szerel
szelep,szerep
szeles,szemes
szeles,szenes
szelet,szeret
szellő,szeplő
szemel,szenel
szemel,szerel
szemes,szenes
szemez,szerez
szenel,szerel
szépia,széria
szépül,szétül
szidás,szitás
szidat,szimat
színes,szíves
szítás,szívás
szobás,szokás
szobás,szopás
szódás,szólás
szódás,szórás
szokás,szopás
szólás,szórás
szórat,szózat
szökés,szövés
szűkös,szűrös
szűnés,szűrés
szünet,szüret
szaldó,szaltó
szálfa,szálka
számoz,száműz
szánka,szánta
szánkó,szántó
szarás,szaros
szarás,szarus
szaros,szarus
szegel,szegül
szerda,szerfa
szerda,szerva
szerfa,szerva
szerkő,szerző
szétfő,szétlő
szétfő,szétnő
szétlő,szétnő
szétöl,szétül
szikla,szikra
szilfa,szilva
szívás,szíves
szívás,szívós
szíves,szívós
szopás,szopós
szúrás,szúrós
szűköl,szűkül
szűrés,szűrös
szabad,szabat
szagol,szagos
szájal,szájas
szalad,szalag
szálal,szálas
szálal,szálaz
szálas,szálaz
számol,számos
számol,számoz
számos,számoz
szánka,szánkó
szánta,szántó
szárad,száras
szárad,száraz
száras,száraz
szaval,szavas
szaval,szavaz
szavas,szavaz
század,százas
szeder,szedet
szegel,szeget
szegel,szegez
szeget,szegez
székel,székes
széled,széles
széled,szélez
szelel,szelep
szelel,szeles
szelel,szelet
szelep,szeles
szelep,szelet
szeles,szelet
széles,szélez
szemel,szemes
szemel,szemez
szemes,szemez
szenel,szenes
szeráf,szeráj
szerel,szerep
szerel,szeret
szerel,szerez
szerep,szeret
szerep,szerez
szeret,szerez
szerkó,szerkő
szerva,szervi
szétfő,szétfú
szétül,szétüt
szíjas,szíjaz
színes,színez
szitál,szitás
szível,szíves
szólal,szólam
szoros,szoroz
szótag,szótan
szöges,szögez
szőrös,szőröz
szöveg,szövet
szűköl,szűkös
jeladó,feladó
jelleg,felleg
jelölt,felölt
jeltűz,feltűz
jelzet,felzet
jogász,fogász
jutott,futott
juttat,futtat
jegyes,vegyes
jajong,rajong
jobban,robban
jajgat,zajgat
jajong,zajong
járókő,zárókő
játszó,látszó
jegyez,legyez
jobban,lobban
jegyes,hegyes
jegyez,hegyez
jártat,mártat
jattol,mattol
jajdul,sajdul
jampec,kampec
jegyes,kegyes
jellem,kellem
jegyes,begyes
junker,bunker
jobban,dobban
jaguár,január
július,június
jelzés,jelzős
járási,járású
járóka,járókő
jártas,jártat
játszi,játszó
jegyes,jegyez
jelleg,jellem
jelölő,jelölt
jelzői,jelzős
