fejesedik,tejesedik
gombocska,dombocska
gázvasaló,gőzvasaló
generikus,genetikus
géppuskás,géppuskáz
gereblyél,gereblyéz
pontosság,fontosság
párolódik,tárolódik
potyogtat,rotyogtat
pötyögtet,zötyögtet
pötyögtet,lötyögtet
passzíroz,masszíroz
passzívum,masszívum
párosodás,károsodás
párosodik,károsodik
passzíroz,kasszíroz
pattogtat,kattogtat
porosodik,korosodik
pikkelyez,cikkelyez
párbeszéd,perbeszéd
párosodik,pirosodik
párosodik,porosodik
partvonal,pártvonal
perpatvar,pörpatvar
pirosodik,porosodik
pácolódik,párolódik
párásodik,párosodik
projektor,prorektor
projektor,protektor
prorektor,protektor
pókerezik,pókerozik
próbáltat,próbáztat
pisszegés,pisszenés
próbálgat,próbáltat
pityergés,pityergős
pántlikás,pántlikáz
parittyás,parittyáz
parkettás,parkettáz
pártszerű,pártszerv
paszománt,paszomány
pedikűrös,pedikűröz
pikkelyes,pikkelyez
politikum,politikus
politúros,politúroz
provokáló,provokált
délsziget,félsziget
dagasztás,ragasztás
dagasztat,ragasztat
deaktivál,reaktivál
degenerál,regenerál
deputáció,reputáció
dobbantás,robbantás
döngicsél,zöngicsél
deaktivál,leaktivál
degenerál,legenerál
düledezik,hüledezik
dohosodik,mohosodik
degenerál,begenerál
dombocska,gombocska
démonikus,démotikus
dobálódik,dobálózik
dolgozgat,dolgoztat
szemorvos,üzemorvos
szálirány,szélirány
szárcsomó,szőrcsomó
szelesség,szélesség
széntartó,színtartó
szertelen,szőrtelen
színtelen,szüntelen
sziszegés,szószegés
szőlészet,szülészet
számítgat,szárítgat
szedetlen,szegetlen
szegecske,szelecske
szemtelen,szertelen
színtelen,szívtelen
szoktatás,szoptatás
szolgalom,szorgalom
szökevény,szövevény
szülemlik,szüremlik
szerkezet,szervezet
szétaszik,széteszik
szétaszik,szétiszik
szétaszik,szétúszik
szétbomol,szétromol
széteszik,szétiszik
széteszik,szétúszik
szétgázol,szétmázol
széthúzás,szétzúzás
szétiszik,szétúszik
szétkavar,szétzavar
szétkerül,szétterül
szétköhög,szétröhög
szétomlik,szétömlik
szétrágat,szétvágat
szétsuhan,szétzuhan
szánkázik,szánkózik
szemelget,szemezget
szereltet,szerettet
szétrágat,szétrúgat
szétrámol,szétromol
szétrepít,szétröpít
szétrepül,szétröpül
szurkálás,szurkolás
számolgat,számoltat
szembefut,szembejut
szembemer,szembever
szeretget,szerettet
szertehúz,szertezúz
szerteken,szertelen
szétdudál,szétdumál
szétkapar,szétkavar
szétlapul,szétlazul
szétlöket,szétlövet
szétrágat,szétrázat
szétreked,szétreped
szétsikít,szétsimít
széttágul,széttárul
szétülhet,szétültet
szétveret,szétvetet
szétveret,szétvezet
szétvetet,szétvezet
szétzihál,szétzilál
színérték,színérzék
szövetség,szövetvég
szülőanya,szülőatya
szaktudás,szaktudós
származék,származik
szédelgés,szédelgős
szégyenel,szégyenül
szembekap,szembeköp
szembeölt,szembeönt
szembevár,szembever
szétdobál,szétdobol
szétterel,szétterül
szétvetet,szétvetít
szoptatás,szoptatós
szabályos,szabályoz
szakácsné,szakácsnő
szakaszol,szakaszos
szándékol,szándékos
szappanos,szappanoz
szárnyaló,szárnyalt
szeletelő,szeletelt
szembeköp,szembeköt
szembevág,szembevár
szembever,szembevet
szertetép,szertetér
szervizek,szervizel
szétmarad,szétmarat
szétolvad,szétolvas
szétrohad,szétrohan
szigetelő,szigetelt
szilánkol,szilánkos
szorgalmi,szorgalmú
szublimál,szublimát
szükségel,szükséges
jelmondat,felmondat
játszódik,látszódik
jégoszlop,légoszlop
jegyezget,legyezget
jegesedik,hegesedik
járványos,márványos
jegyesség,kegyesség
jelenlevő,jelenlévő
jellemerő,jellemező
jegyzetel,jegyzetes
