fasizmus,tasizmus
kémkedés,kétkedés
kémkedik,kérkedik
kémkedik,kétkedik
kénszínű,kétszínű
kérkedik,kétkedik
keletlen,kenetlen
kibabrál,kizabrál
kibarmol,kikarmol
kiboltoz,kifoltoz
kibontat,kivontat
kibukkan,kipukkan
kiburkol,kihurkol
kicuppan,kihuppan
kidereng,kimereng
kidobban,kilobban
kidobban,kirobban
kidugdos,kirugdos
kidurran,kisurran
kidurrog,kisurrog
kidöccen,kipöccen
kidördül,kigördül
kidördül,kipördül
kifejlik,kirejlik
kifejlik,kisejlik
kiferdít,kiperdít
kiferdül,kiperdül
kiferdül,kiserdül
kifeszít,kiveszít
kiformáz,kinormáz
kifurkál,kiturkál
kifuttat,kijuttat
kigittel,kinittel
kigombol,kitombol
kigördül,kipördül
kigörget,kipörget
kihallat,kivallat
kihantol,kilantol
kiharcol,kikarcol
kiharcol,kisarcol
kihegyez,kijegyez
kihümmög,kizümmög
kikarcol,kisarcol
kikattan,kipattan
kikattog,kipattog
kikerget,kiperget
kikoppan,kitoppan
kikotyog,kilotyog
kikotyog,kipotyog
kikotyog,kitotyog
kikukkol,kirukkol
kiköltet,kitöltet
kiköltés,kitöltés
kilebben,kirebben
kilendít,kipendít
kilendül,kipendül
kilendül,kirendül
kilenget,kipenget
kilenget,kizenget
kilobban,kirobban
kilocsol,kipocsol
kilotyog,kipotyog
kilotyog,kitotyog
kilumpol,kipumpol
kiláncol,kisáncol
kiláncol,kitáncol
kilégzés,kivégzés
kilépdel,kitépdel
kilépked,kitépked
kilötyög,kipötyög
kilötyög,kizötyög
kimarkol,kiparkol
kimeszel,kireszel
kimállik,kipállik
kiosztat,kiúsztat
kipendül,kirendül
kipenget,kizenget
kiperdül,kiserdül
kipillog,kivillog
kipotyog,kitotyog
kipötyög,kizötyög
kirajtol,kisajtol
kirejlik,kisejlik
kirikolt,kisikolt
kisikkad,kitikkad
kisáncol,kitáncol
kitermel,kivermel
kocogtat,kopogtat
kodácsol,kopácsol
kodácsol,kovácsol
koldulás,kondulás
kopácsol,kovácsol
kökényes,kötényes
körbefog,közbefog
körbefűz,közbefűz
körbehúz,közbehúz
körbejár,közbejár
körbekap,közbekap
körbelép,közbelép
körbenéz,közbenéz
körberak,közberak
körbesír,közbesír
körbesző,közbesző
körbevág,közbevág
körbever,közbever
körbevet,közbevet
körbezár,közbezár
körlevél,kötlevél
körözött,kötözött
körpálya,közpálya
kalangya,kalongya
kalocsni,kalucsni
kapargál,kapirgál
karcolás,karmolás
képletes,képzetes
kéredzik,kérődzik
kiakaszt,kiapaszt
kibaktat,kibuktat
kibujtat,kibújtat
kidekkol,kidokkol
kiferdít,kifordít
kihallat,kihullat
kihallik,kihullik
kihantol,kihántol
kiharcol,kihurcol
kikaptat,kikoptat
kikaszál,kikószál
kikeltet,kiköltet
kilebben,kilibben
kiperdül,kipördül
kiperget,kipörget
kireppen,kiröppen
kitérdel,kitördel
kivehető,kivihető
kiékesít,kiélesít
közbefog,közrefog
közbekap,közrekap
közbezár,közrezár
közéleti,közületi
kuncorog,kunkorog
kibujtat,kibuktat
kicsahol,kicsihol
kicsorog,kicsurog
kifejlik,kifeslik
kifejtet,kifektet
kifejtet,kifestet
kifejtés,kifestés
kifektet,kifestet
kihajlik,kihallik
kihegyez,kihelyez
kiköltet,kiköttet
kiköpött,kikötött
kimondat,kimosdat
kinyilaz,kinyálaz
kinyílik,kinyúlik
kipadlóz,kipallóz
kipendít,kiperdít
kipendül,kiperdül
kipenget,kiperget
kipillog,kipislog
kipöcköl,kipörköl
kiszakít,kiszőkít
kiszegez,kiszögez
kiszeret,kiszűret
kiszokik,kiszökik
kiszorít,kiszárít
kiszórat,kiszúrat
kitervez,kitetvez
kitépdel,kitérdel
kivehető,kivezető
kivágtat,kiváltat
kontíroz,kontúroz
kötélzet,kötészet
közönség,közösség
kunyerál,kunyorál
kallódik,kallózik
kancsóka,kancsuka
kandidál,kandikál
keltetés,keltezés
keresget,kereslet
keresget,kerestet
kereslet,kerestet
kettyent,kettyint
kettérág,kettévág
kettétár,kettézár
kezdőlap,kezdőnap
kezelhet,kezeltet
kialakít,kialapít
kicsahol,kicsapol
kicsahol,kicsatol
kicsapol,kicsatol
kicselez,kicserez
kicsobog,kicsorog
kicsöpög,kicsörög
kísérget,kísérlet
kísérget,kísértet
kísérlet,kísértet
kifejlet,kifejtet
kifejlés,kifejtés
kifoldoz,kifoltoz
kiformáz,kiforráz
kigörbül,kigördül
kihangol,kihantol
kihurcol,kihurkol
kikarcol,kikarmol
kikellet,kikeltet
kiláncol,kilángol
kiporlik,kiporzik
kirajtol,kirajzol
kiszakad,kiszalad
kiszedet,kiszeret
kiszegel,kiszelel
kiszegel,kiszemel
kiszegel,kiszenel
kiszegel,kiszerel
kiszegez,kiszemez
kiszegez,kiszerez
kiszelel,kiszemel
kiszelel,kiszenel
kiszelel,kiszerel
kiszemel,kiszenel
kiszemel,kiszerel
kiszemez,kiszerez
kiszenel,kiszerel
kiszokik,kiszopik
kiszákol,kiszámol
kiszámít,kiszárít
kiszédül,kiszépül
kiterhel,kitermel
kiterhel,kitervel
kitermel,kitervel
kiutalás,kiutazás
kivermel,kiversel
körbefon,körbevon
körbefúr,körbetúr
körbefűz,körbetűz
körbeint,körbeönt
körbejár,körbezár
körberág,körbevág
körülint,körülönt
körüljár,körülzár
körüllép,körültép
körülrág,körülvág
közbeeső,közbenső
közbejár,közbezár
kutyabaj,kutyafaj
különjár,különvár
különjár,különzár
különvár,különzár
kalander,kalandor
kalocsai,kalocsni
kettérág,kettérúg
kettétár,kettétör
kihajtás,kihajtós
kipumpol,kipumpál
kirendel,kirendül
kiéleszt,kiélesít
kolompár,kolompér
körbefut,körbefűt
körbelép,körbelop
körbemar,körbemér
körbeölt,körbeönt
körülvet,körülvét
közbefőz,közbefűz
közbevet,közbevét
krónikás,krónikus
különlát,különlét
kakukkol,kakukkos
kalandor,kalandos
kalászol,kalászos
kapcsoló,kapcsolt
kárpitos,kárpitoz
kavicsol,kavicsos
kavicsol,kavicsoz
kavicsos,kavicsoz
képzeleg,képzelem
képzeleg,képzelet
képzelem,képzelet
készülék,készülés
kegyelem,kegyelet
kenyeres,kenyerez
kereseti,keresett
kereseti,keresetű
keresett,keresetű
kerítőné,kerítőnő
kibilleg,kibillen
kiformál,kiformáz
kigondol,kigondoz
kilocsog,kilocsol
kipuffad,kipuffan
kipukkad,kipukkan
kipólyál,kipólyáz
kirendel,kirendez
királyné,királynő
kiserked,kiserken
kiszaval,kiszavaz
kiszegel,kiszegez
kiszemel,kiszemez
kiszerel,kiszeret
kiszerel,kiszerez
kiszeret,kiszerez
kitervel,kitervez
kitépdel,kitépdes
kiviteli,kivitelű
kolompol,kolompos
kombinál,kombinát
korlátol,korlátoz
koszorús,koszorúz
kovászol,kovászos
körbefog,körbefon
körbefúj,körbefúr
körbefűt,körbefűz
körbevéd,körbevés
körbever,körbevet
körülfog,körülfon
körülvés,körülvét
közbever,közbevet
középtáj,középtáv
különvág,különvár
belföldi,felföldi
belsőség,felsőség
belülről,felülről
bennakad,fennakad
bennhagy,fennhagy
benntart,fenntart
bensőség,fensőség
beszeget,feszeget
barackos,tarackos
bekerget,tekerget
beleakad,teleakad
beleázik,teleázik
belecsap,telecsap
beleéget,teleéget
beleélve,teleélve
beleépít,teleépít
beleépül,teleépül
beleesik,teleesik
beleetet,teleetet
belefest,telefest
belegyűr,telegyűr
belehány,telehány
belehint,telehint
belehord,telehord
beleidéz,teleidéz
beleírat,teleírat
belemegy,telemegy
belenyom,telenyom
beleszar,teleszar
beleszed,teleszed
beleszív,teleszív
beleszór,teleszór
beleszúr,teleszúr
beletesz,teletesz
beletölt,teletölt
beleugat,teleugat
belevarr,televarr
belevesz,televesz
belezeng,telezeng
büntetés,tüntetés
bitorlás,vitorlás
bumlizik,rumlizik
babliszt,zabliszt
beadogat,leadogat
beakaszt,leakaszt
bealszik,lealszik
beáramol,leáramol
bebaktat,lebaktat
beballag,leballag
bebambul,lebambul
bebarmol,lebarmol
bebarnít,lebarnít
bebarnul,lebarnul
bebaszik,lebaszik
bebeszél,lebeszél
bebillen,lebillen
bebocsát,lebocsát
bebólint,lebólint
beborult,leborult
bebujtat,lebujtat
bebújtat,lebújtat
bebuktat,lebuktat
beburkol,leburkol
becammog,lecammog
becaplat,lecaplat
becentiz,lecentiz
beciánoz,leciánoz
becuppan,lecuppan
becsábít,lecsábít
becsapás,lecsapás
becsapat,lecsapat
becsapol,lecsapol
becsatol,lecsatol
becsavar,lecsavar
becselez,lecselez
becsepeg,lecsepeg
becserél,lecserél
becsévél,lecsévél
becsigáz,lecsigáz
becsinál,lecsinál
becsókol,lecsókol
becsomóz,lecsomóz
becsorog,lecsorog
becsődül,lecsődül
becsöpög,lecsöpög
becsörög,lecsörög
becsukat,lecsukat
becsumáz,lecsumáz
becsurog,lecsurog
bedermed,ledermed
bedicsér,ledicsér
bediktál,lediktál
bedobban,ledobban
bedokkol,ledokkol
bedöbben,ledöbben
bedöglik,ledöglik
bedöndül,ledöndül
bedönget,ledönget
bedöngöl,ledöngöl
bedörgöl,ledörgöl
bedrótoz,ledrótoz
bedurran,ledurran
bedurvít,ledurvít
beénekel,leénekel
beépítés,leépítés
beereget,leereget
beereszt,leereszt
beernyőz,leernyőz
beerősít,leerősít
befalcol,lefalcol
befásliz,lefásliz
befejtet,lefejtet
befektet,lefektet
befényez,lefényez
befenyít,lefenyít
beferdít,leferdít
befertőz,lefertőz
befestet,lefestet
befeszít,lefeszít
befeszül,lefeszül
befigyel,lefigyel
befingik,lefingik
befirkál,lefirkál
befoglal,lefoglal
befolyás,lefolyás
befolyat,lefolyat
befolyik,lefolyik
befordít,lefordít
befordul,lefordul
beforgat,leforgat
beformáz,leformáz
beforral,leforral
beföldel,leföldel
befullad,lefullad
befuttat,lefuttat
befürdet,lefürdet
befürdik,lefürdik
befüstöl,lefüstöl
befütyül,lefütyül
begerjed,legerjed
begittel,legittel
begombol,legombol
begondol,legondol
begörbed,legörbed
begörbít,legörbít
begörbül,legörbül
begördít,legördít
begördül,legördül
begörget,legörget
beguggol,leguggol
begyaláz,legyaláz
begyalul,legyalul
begyötör,legyötör
begyűrűz,legyűrűz
behabzik,lehabzik
behajlás,lehajlás
behajlik,lehajlik
behajlít,lehajlít
behajtat,lehajtat
behangol,lehangol
behantol,lehantol
behányat,lehányat
beharcol,leharcol
beharsog,leharsog
behátrál,lehátrál
behelyez,lehelyez
behibban,lehibban
behirdet,lehirdet
behordás,lehordás
behordat,lehordat
behullik,lehullik
behuppan,lehuppan
behurcol,lehurcol
behúzgál,lehúzgál
behúzkod,lehúzkod
behülyít,lehülyít
behülyül,lehülyül
beidőzít,leidőzít
beigazít,leigazít
beigazol,leigazol
beíródik,leíródik
beírogat,leírogat
bejáratú,lejáratú
bejárkál,lejárkál
bejártat,lejártat
bejegyez,lejegyez
bejelent,lejelent
bejuttat,lejuttat
bekacsol,lekacsol
bekapkod,lekapkod
bekarcol,lekarcol
bekarmol,lekarmol
bekaszál,lekaszál
bekattan,lekattan
bekémlel,lekémlel
beképzel,leképzel
bekérdez,lekérdez
bekerget,lekerget
bekészít,lekészít
bekészül,lekészül
beketyeg,leketyeg
bekiabál,lekiabál
bekísért,lekísért
bekoldul,lekoldul
bekonyul,lekonyul
bekoppan,lekoppan
bekoptat,lekoptat
bekorhad,lekorhad
bekószál,lekószál
bekottáz,lekottáz
beköpdös,leköpdös
beköpköd,leköpköd
bekörmöl,lekörmöl
beköszön,leköszön
beköttet,leköttet
bekrétáz,lekrétáz
bekullog,lekullog
bekussol,lekussol
bekúszik,lekúszik
beküldet,leküldet
belágyul,lelágyul
belakkoz,lelakkoz
belámpáz,lelámpáz
beláncol,leláncol
belankad,lelankad
belassít,lelassít
belassul,lelassul
belebben,lelebben
belendít,lelendít
belendül,lelendül
belépdel,lelépdel
belépked,lelépked
beleplez,leleplez
beléptet,leléptet
belibben,lelibben
belocsol,lelocsol
belökdös,lelökdös
bemálház,lemálház
bemászik,lemászik
bemattol,lemattol
bemélyed,lemélyed
bemélyít,lemélyít
bemélyül,lemélyül
bementet,lementet
bemérgez,lemérgez
bemeszel,lemeszel
bemintáz,lemintáz
bemondás,lemondás
bemondat,lemondat
bemosdik,lemosdik
bemozdul,lemozdul
bemozgat,lemozgat
bemunkál,lemunkál
benagyít,lenagyít
benulláz,lenulláz
benyakal,lenyakal
benyálaz,lenyálaz
benyilaz,lenyilaz
benyílik,lenyílik
benyomat,lenyomat
benyomul,lenyomul
beolajoz,leolajoz
beolvasó,leolvasó
beoperál,leoperál
beözönöl,leözönöl
beparkol,leparkol
bepaskol,lepaskol
bepattan,lepattan
bepattog,lepattog
beperdül,leperdül
beperkál,leperkál
bepingál,lepingál
bepontoz,lepontoz
bepotyog,lepotyog
bepöcköl,lepöcköl
bepördül,lepördül
bepörget,lepörget
bepörköl,lepörköl
bepötyög,lepötyög
bepötyög,lepötyög
beprémez,leprémez
beprésel,leprésel
bepróbál,lepróbál
bepumpál,lepumpál
bepuszil,lepuszil
berácsoz,lerácsoz
beragyog,leragyog
berajzik,lerajzik
berajzol,lerajzol
beráncol,leráncol
berándul,lerándul
berángat,lerángat
berendel,lerendel
berendez,lerendez
bereszel,lereszel
beriaszt,leriaszt
berobban,lerobban
berombol,lerombol
beromlik,leromlik
berondít,lerondít
beroppan,leroppan
beroskad,leroskad
berothad,lerothad
beröffen,leröffen
berögzít,lerögzít
berögzül,lerögzül
beröppen,leröppen
beröptet,leröptet
beruccan,leruccan
berugdal,lerugdal
berugdos,lerugdos
berúgtat,lerúgtat
besajtol,lesajtol
besáncol,lesáncol
besandít,lesandít
besárgít,lesárgít
besárgul,lesárgul
beseggel,leseggel
besiklat,lesiklat
besiklik,lesiklik
besmárol,lesmárol
besóhajt,lesóhajt
besokkol,lesokkol
bespórol,lespórol
besrófol,lesrófol
besuhint,lesuhint
besúlyoz,lesúlyoz
besurran,lesurran
besuttog,lesuttog
besüpped,lesüpped
beszakad,leszakad
beszakít,leszakít
beszalad,leszalad
beszálló,leszálló
beszámít,leszámít
beszámol,leszámol
beszámoz,leszámoz
beszárad,leszárad
beszarik,leszarik
beszárít,leszárít
beszavaz,leszavaz
beszedet,leszedet
beszédít,leszédít
beszédül,leszédül
beszegel,leszegel
beszegez,leszegez
beszemez,leszemez
beszerel,leszerel
beszeret,leszeret
beszerez,leszerez
beszíjaz,leszíjaz
beszitál,leszitál
beszívat,leszívat
beszokik,leszokik
beszólít,leszólít
beszopat,leszopat
beszorít,leszorít
beszorul,leszorul
beszögez,leszögez
beszökik,leszökik
beszőkít,leszőkít
beszőkül,leszőkül
beszúrat,leszúrat
beszűkít,leszűkít
beszűköl,leszűköl
beszűkül,leszűkül
betaglóz,letaglóz
betáncol,letáncol
betapint,letapint
betapsol,letapsol
betaszít,letaszít
betekint,letekint
betérdel,letérdel
beteremt,leteremt
beterhel,leterhel
beterjed,leterjed
betermel,letermel
betervez,letervez
betesped,letesped
betettet,letettet
betiltás,letiltás
betiltat,letiltat
betompul,letompul
betoppan,letoppan
betorkol,letorkol
betorzít,letorzít
betorzul,letorzul
betotyog,letotyog
betöltet,letöltet
betömköd,letömköd
betördel,letördel
betörtet,letörtet
betunkol,letunkol
betűzdel,letűzdel
beúsztat,leúsztat
beutazik,leutazik
beütődik,leütődik
beütöget,leütöget
beüzemel,leüzemel
bevackol,levackol
bevagdal,levagdal
bevagdos,levagdos
bevágtat,levágtat
beváltás,leváltás
beváltat,leváltat
bevegyít,levegyít
beverdes,leverdes
bevérzik,levérzik
beveszik,leveszik
bevezető,levezető
bevillan,levillan
bevilláz,levilláz
bevillog,levillog
bevontat,levontat
bezajlik,lezajlik
bezökken,lezökken
bezötyög,lezötyög
bezuhint,lezuhint
bezüllik,lezüllik
bezsákol,lezsákol
bezsaluz,lezsaluz
bezsarol,lezsarol
bezsebel,lezsebel
bezsíroz,lezsíroz
balfogás,halfogás
bosszant,hosszant
begerjed,megerjed
belenget,melenget
bűvészet,művészet
bokszoló,kokszoló
burukkol,curukkol
baraboly,garaboly
bátorság,botorság
becsúszó,búcsúszó
békanyál,bikanyál
belistáz,bélistáz
bérmunka,bőrmunka
berukkol,burukkol
borszagú,bőrszagú
bebarmol,bekarmol
beberreg,bekerreg
beboltoz,befoltoz
beburkol,behurkol
becakkoz,belakkoz
becinkel,belinkel
becuppan,behuppan
bedereng,belereng
bedobban,belobban
bedobban,berobban
bedokkol,besokkol
bedördül,begördül
bedördül,bepördül
bedugdos,berugdos
bedugdos,besugdos
bedurran,besurran
bedülled,befülled
beferdül,beperdül
befeszül,beleszül
befoldoz,betoldoz
beformáz,benormáz
befuttat,bejuttat
begerjed,beterjed
begittel,benittel
begombol,berombol
begördül,bepördül
begörget,bepörget
begörget,bezörget
behajlik,bezajlik
beharcol,bekarcol
bejegyez,belegyez
bekattan,bepattan
bekattog,bepattog
bekoppan,beroppan
bekoppan,betoppan
bekotyog,bepotyog
bekotyog,betotyog
beköpdös,beröpdös
bekrémez,beprémez
bekukkol,berukkol
beláncol,beráncol
beláncol,besáncol
beláncol,betáncol
beleázik,beteázik
belégzés,bevégzés
belenget,bezenget
beleszel,bemeszel
beleszel,bereszel
belobban,berobban
belötyög,bepötyög
belötyög,bepötyög
belötyög,bezötyög
belsőleg,bensőleg
belsőség,bensőség
bemarkol,beparkol
bemeszel,bereszel
beosztat,beúsztat
bepotyog,betotyog
bepörget,bezörget
bepötyög,bezötyög
bepötyög,bezötyög
berajtol,besajtol
beráncol,besáncol
beráncol,betáncol
beroppan,betoppan
berugdos,besugdos
besáncol,betáncol
besuhint,bezuhint
betermel,bevermel
bodrosít,bokrosít
bogernyő,boternyő
bujdosik,bukdosik
bánkódás,bántódás
bánkódik,bántódik
bebaktat,bebuktat
bebujtat,bebújtat
beédesít,beélesít
beferdít,befordít
behányat,behunyat
beharcol,behurcol
bekaszál,bekószál
belebben,belibben
bepárzik,beporzik
beperdül,bepördül
berángat,beringat
bereppen,beröppen
bespékel,beszékel
betankol,betunkol
betérdel,betördel
bólingat,bólongat
bombaszt,bomlaszt
bebujtat,bebuktat
becsapol,becsápol
becsorog,becsurog
bedöndül,bedördül
bedöngöl,bedörgöl
befejtet,befektet
befejtet,befestet
befektet,befestet
belebont,beleront
beleéget,belenget
beleéget,beleüget
beleetet,beleétet
belehaló,belevaló
belehisz,belevisz
belekölt,beletölt
belenget,beleüget
beleörül,beleőrül
beleörül,beleürül
beleőrül,beleürül
belerejt,belesejt
belereng,belezeng
beletesz,belevesz
bemakkol,bemarkol
benyálaz,benyilaz
benyílik,benyúlik
beparkol,bepaskol
beparkol,bepaukol
bepaskol,bepaukol
bepolcol,beponcol
bepöcköl,bepörköl
beszakít,beszőkít
beszakít,beszűkít
beszárít,beszorít
beszegez,beszögez
beszokik,beszökik
beszórat,beszúrat
beszőkít,beszűkít
beszőkül,beszűkül
betoppan,betorpan
betöltet,betörtet
bevágtat,beváltat
bevégzés,bevérzés
becsapol,becsatol
becsöpög,becsörög
befoldoz,befoltoz
begörbít,begördít
begörbül,begördül
behajlás,behajtás
behangol,behantol
behurcol,behurkol
bekarcol,bekarmol
beláncol,belángol
beleéget,beleétet
beleékez,beleérez
belefagy,belefogy
belehány,belehuny
belekezd,beleküzd
beleömöl,beleötöl
beleráng,belereng
beleránt,beleront
belesejt,belesújt
belevesz,belevész
belevesz,belevisz
belevész,belevisz
berajtol,berajzol
beszakad,beszalad
beszámít,beszárít
beszedet,beszeget
beszedet,beszeret
beszegel,beszerel
beszeget,beszeret
beszegez,beszemez
beszegez,beszerez
beszemez,beszerez
beterhel,betermel
beutalás,beutazás
bevontat,bevonzat
beárasít,beáraszt
becsődöl,becsődül
beigazol,beigazul
belecsap,belecsíp
belegyúr,belegyűr
beleküld,beleküzd
belenyal,belenyúl
beleőröl,beleőrül
beleszar,beleszór
beleszar,beleszúr
beleszar,beleszűr
beleszel,beleszól
beleszel,beleszül
beleszól,beleszül
beleszór,beleszúr
beleszór,beleszűr
beleszúr,beleszűr
beleutal,beleutál
beszűköl,beszűkül
bóbiskál,bóbiskol
borongás,borongós
barázdál,barázdás
beáraszd,beáraszt
bebilleg,bebillen
beforrad,beforral
begondol,begondoz
bejárati,bejáratú
beleakad,beleakar
belebong,belebont
belecsal,belecsap
beledöng,beledönt
beleékel,beleékez
belehall,belehaló
beleráng,beleránt
beleszab,beleszar
beleszed,beleszeg
beleszed,beleszel
beleszeg,beleszel
beleszól,beleszór
bélistás,bélistáz
bélyeges,bélyegez
benyeled,benyelez
bepolcol,bepolcoz
bepólyál,bepólyáz
berendel,berendez
beszámol,beszámoz
beszegel,beszeget
beszegel,beszegez
beszeget,beszegez
beszerel,beszeret
beszerel,beszerez
beszeret,beszerez
bibeszáj,bibeszál
bibeszáj,bibeszár
bibeszál,bibeszár
birtokol,birtokos
búzaszál,búzaszár
ügyesség,egyesség
ügyetlen,egyetlen
ülőfürdő,előfürdő
ülőmunka,élőmunka
ütemterv,üzemterv
üveggomb,üveggömb
utilizál,stilizál
uszályos,aszályos
urológus,prológus
utánafúr,utánatúr
utánaint,utánaönt
utánahoz,utánahúz
utánakap,utánaköp
utánatör,utánatúr
utánafúj,utánafúl
utánafúj,utánafúr
utánafúl,utánafúr
utánaköp,utánaköt
célvonal,félvonal
cuppanós,huppanós
curukkol,burukkol
célvonal,délvonal
cégtábla,jégtábla
cégszerű,célszerű
cégtábla,céltábla
cilicium,cilícium
cementál,cementel
célvonal,célvonat
cementel,cementez
cingulum,cingulus
citromfa,citromfű
zsinóros,zsinóroz
görgeteg,förgeteg
geológia,teológia
geológus,teológus
gerjedez,terjedez
gerjeszt,terjeszt
gégészet,régészet
gázrózsa,lázrózsa
gomolyog,somolyog
garaboly,baraboly
gályázik,pályázik
göndörít,pöndörít
gázfűtés,gőzfűtés
gázkamra,gőzkamra
gégészet,gépészet
gardíroz,garníroz
granulál,gratulál
gombázik,gombozik
gondolás,gondozás
gomolyag,gomolyog
galvános,galvánoz
gubancol,gubancos
permetes,termetes
porlaszt,torlaszt
prüszköl,trüszköl
purizmus,turizmus
páratlan,váratlan
pipacsos,ripacsos
páratlan,záratlan
pendülés,zendülés
pendülés,lendülés
pottyant,lottyant
parkíroz,markíroz
percegés,sercegés
perdülés,serdülés
pallózás,kallózás
pattanás,kattanás
pottyant,kottyant
pöszméte,köszméte
prológus,urológus
pályázik,gályázik
pöndörít,göndörít
pöcögtet,döcögtet
páratlan,járatlan
párosító,pirosító
pápaszem,pávaszem
pendülés,perdülés
párnázat,pártázat
pianista,piarista
pályabér,pályatér
pentagon,pentaton
puffadás,puffanás
pattogás,pattogós
pityókás,pityókos
puffanás,puffancs
pufferel,pufferol
palackos,palackoz
palántál,palántáz
panaszol,panaszos
páncélos,páncéloz
paprikás,paprikáz
paranoia,paranoid
pecsétel,pecsétes
permeteg,permetes
permeteg,permetez
permetes,permetez
pletykál,pletykás
pókhálós,pókhálóz
publikum,publikus
délvonal,félvonal
dülleszt,fülleszt
derített,terített
dermeszt,termeszt
drabális,trabális
dagályos,ragályos
dagasztó,ragasztó
dedukció,redukció
deformál,reformál
deklamál,reklamál
dezignál,rezignál
diadalom,riadalom
dobbanás,robbanás
dobbantó,robbantó
dörömböl,zörömböl
dörrenés,zörrenés
dobbanás,lobbanás
dobogtat,lobogtat
dentális,mentális
derített,merített
daraboló,saraboló
durrogás,surrogás
dorongol,korongol
durrogás,kurrogás
duruzsol,kuruzsol
délvonal,célvonal
döcögtet,pöcögtet
dalolász,danolász
dalolgat,danolgat
deklamál,deklarál
didergés,didergős
dédszüle,dédszülő
doktorné,doktornő
dörzsölő,dörzsölt
dunsztol,dunsztos
számbeli,szembeli
számjegy,szemjegy
szárítás,szorítás
szegezés,szögezés
szenesít,színesít
sziszegő,szószegő
szóródás,szúródás
szóródik,szúródik
szabatos,szavatos
szagosít,szakosít
szakaszt,szalaszt
szakozik,szarozik
számadás,száradás
számítás,szárítás
szédeleg,szépeleg
szédítés,szépítés
szegezés,szemezés
szelelés,szerelés
szeletel,szemetel
szénaláz,szétaláz
szénázik,szétázik
szuterén,szuverén
szünetel,szüretel
szemereg,szemüreg
szétbont,szétront
szétfagy,széthagy
széthánt,szétránt
széttesz,szétvesz
szabados,szabatos
számolás,számozás
szavalás,szavazás
szavalat,szavazat
szemüreg,szemüveg
széthánt,széthint
szétránt,szétront
szétvesz,szétvisz
szívódik,szívózik
szalonka,szalonna
szédülés,szédülős
szélesít,széleszt
szétcsap,szétcsíp
szétfejt,szétfest
szétnyal,szétnyúl
szétnyer,szétnyír
szétszel,szétszól
szinkron,szinkrón
szótáraz,szótároz
szájtáti,szájtátó
szakadár,szakadás
szalagos,szalagoz
szamaras,szamaraz
szárnyal,szárnyas
szárnyal,szárnyaz
szárnyas,szárnyaz
szavatol,szavatos
szellemi,szellemű
szembeli,szembelő
szemcsés,szemcséz
szemetel,szemetes
szennyes,szennyez
szerelék,szerelés
széthánt,széthány
szétnyer,szétnyes
szétnyúl,szétnyúz
szétszed,szétszel
szétszól,szétszór
szétváló,szétvált
színezék,színezés
szkennel,szkenner
szövegel,szöveges
szövegel,szövegez
szöveges,szövegez
jelképez,felképez
jelöltet,felöltet
juttatás,futtatás
járatlan,váratlan
jajongás,rajongás
jódlizik,ródlizik
jajongás,zajongás
járatlan,záratlan
jégréteg,légréteg
jégtömlő,légtömlő
jellemes,kellemes
jégtábla,cégtábla
járatlan,páratlan
javallat,javaslat
jelenség,jelesség
javítgat,javíttat
jelentés,jelentős
jövőbeli,jövőbeni
juhászat,juhászít
jelképes,jelképez
jellemes,jellemez
